number,value,datetime_start,datetime_complete,duration,params_eta,params_max_depth,params_subsample,state
10,0.6530876873017668,2025-08-04 14:20:45.213396,2025-08-04 14:20:46.713365,0 days 00:00:01.499969,0.08513989847212887,5,0.769665660293774,COMPLETE
49,0.6529326768254773,2025-08-04 14:21:53.359975,2025-08-04 14:21:54.917631,0 days 00:00:01.557656,0.08159305608677234,5,0.7576102329895891,COMPLETE
43,0.6525823422540629,2025-08-04 14:21:44.174710,2025-08-04 14:21:45.551742,0 days 00:00:01.377032,0.02785927828782598,5,0.7971619557952131,COMPLETE
2,0.6520687102852805,2025-08-04 14:20:35.631258,2025-08-04 14:20:36.768523,0 days 00:00:01.137265,0.20063659978660092,4,0.8892715257750172,COMPLETE
17,0.6517505171275099,2025-08-04 14:20:58.129365,2025-08-04 14:21:00.035678,0 days 00:00:01.906313,0.19067498147280199,5,0.7731213139752537,COMPLETE
39,0.6514561031678701,2025-08-04 14:21:38.141900,2025-08-04 14:21:39.768646,0 days 00:00:01.626746,0.21480792971326923,6,0.7917390220886876,COMPLETE
8,0.6509605674575536,2025-08-04 14:20:42.737332,2025-08-04 14:20:44.252090,0 days 00:00:01.514758,0.2756491021524073,6,0.6833092119912623,COMPLETE
37,0.6503656899110414,2025-08-04 14:21:35.230698,2025-08-04 14:21:36.621750,0 days 00:00:01.391052,0.10273550889945537,4,0.8290597372277513,COMPLETE
47,0.6498919783284508,2025-08-04 14:21:50.094804,2025-08-04 14:21:51.599166,0 days 00:00:01.504362,0.056900099577528965,4,0.8291862874322898,COMPLETE
18,0.6498745007435952,2025-08-04 14:21:00.037379,2025-08-04 14:21:01.655369,0 days 00:00:01.617990,0.21974827014477447,4,0.8056854417426638,COMPLETE
26,0.6498168007790346,2025-08-04 14:21:18.224058,2025-08-04 14:21:20.123084,0 days 00:00:01.899026,0.035331404846770706,6,0.7148956495768806,COMPLETE
1,0.6496010672253009,2025-08-04 14:20:34.578024,2025-08-04 14:20:35.629710,0 days 00:00:01.051686,0.13921476757380258,4,0.6772789305903477,COMPLETE
3,0.6494808574520061,2025-08-04 14:20:36.769911,2025-08-04 14:20:37.865593,0 days 00:00:01.095682,0.2422854977121376,4,0.8403174259775985,COMPLETE
7,0.6491905769544686,2025-08-04 14:20:41.580211,2025-08-04 14:20:42.735975,0 days 00:00:01.155764,0.29638454414934673,4,0.6369862138579063,COMPLETE
